identifier,usPort,foreignPort,vessel,estimateArrival,actualArrival,pieces,contents
201501243,"Los Angeles,California","Vung Tau,Vietnam",MOL MOTIVATOR,2013-09-16,2013-09-17,229,"229  CTN WETSUITS AMS S HBL  EFV019569SE SCAC CODE  SYSA TLI  2475-40-3000-0045 SHIPPED ON BOARD AUG. 29,2013"
201501091,"Port Everglades,Florida","Sines,Portugal",MSC CAROLINA,2013-09-16,2013-09-13,42,TOTAL 42 VOLUMS 20 VOLUMES WITH AUTORADIOS 1738.94 KGS GW 12 CBM INVOICE 78400901 HS CODE 85272120 .13PT00016420599087 . 04 VOLUMES WITH AUTORADIOS 412 KGS GW 12 CBM INVOICE 78400601 HS CODE 85272120 .13PT00016420599087 . 07 VOLUMES WITH AUTORADIOS 736.309 KGS GW 12 CBM INVOICE 78400904601 HS CODE 85272120 .13PT00016420599087 . 03 VOLUMES WITH AUTORADIOS 265.929 KGS GW 12 CBM INVOICE 78400904903 HS CODE 85272120 .13PT00016420599408 . 08 VOLUMES WITH AUTORADIOS 695.576 KGS GW 12 CBM INVOICE 78400904902 HS CODE 85272120 .13PT00016420599408 . HS-CODE 85272120
2015012318,"Los Angeles,California","Hong Kong,Hong Kong",MOL MOTIVATOR,2013-09-16,2013-09-17,933,"933  CTN WETSUIT SCAC CODE   OBEP HBL    HPHOB1308662 TLI  2475-40-3000-0044 SHIPPED ON BOARD AUG. 29,2013"
201501221,"Charleston,South Carolina","Rotterdam,Netherlands",APL MELBOURNE,2013-09-18,2013-09-18,67,ENGINE PARTS
201502149,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,9,UNIT ASSY
201502101,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021221,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,13,DIAMOND CUTTING WHEEL
201502141,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021018,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,64,GR UNIVERSAL WHITE PAINT 51G MENS
201503133,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015021219,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,64,GR UNIVERSAL WHITE PAINT 51G MENS
201502103,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015021226,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,50,PRINTED CIRCUIT BOARD
201503102,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015021121,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,2,0292 NON-CHILD -EARRINGS
201502121,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021123,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,117,LINK S/S RASHGUARD
201502124,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015021125,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,50,PRINTED CIRCUIT BOARD
201502111,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021421,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,2,0292 NON-CHILD -EARRINGS
201503031,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015030320,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,13,DIAMOND CUTTING WHEEL
201502102,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
201502105,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,9900,HEATER CORE AND EVAPORATOR CORE
201502064,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,4,2545 NON-CHILD BODY JEWELRY
201502143,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,8,2805 NON-CHILD -EARRINGS
201503033,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,2,0292 NON-CHILD -EARRINGS
201502123,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,1,0292 NON-CHILD -EARRINGS
201502062,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015031335,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,13,RUGS CAPET
201502113,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
201503135,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,14170,HEATER CORE AND EVAPORATOR CORE
201502112,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015021119,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,184,CUTTING SAW BLADE
201503131,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015030313,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,857,PUMP FUEL MODULE
201503032,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
201502127,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,17842,FRONT HOUSING
201503101,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015031321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,2,0292 NON-CHILD -EARRINGS
201502061,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015031032,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,72,TELECOMMUNICATION EQUIPMENTS
201502142,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
201503104,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,214,AIR CONDITIONING FAN COIL UNITS AND PART
201503132,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
201503035,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,9900,HEATER CORE AND EVAPORATOR CORE
201502051,"Oakland,California","Singapore,Singapore",NYK THESEUS,2013-09-23,2013-09-25,103,MANGO WOOD  FURNITURE
2015012331,"Los Angeles,California","Hong Kong,Hong Kong",MOL MANEUVER,2013-09-23,2013-09-24,1147,"1147  CTN WETSUIT SCAC CODE   OBEP HBL AMS   HPHOB1309749 TLI  2475-40-3000-0044 SHIPPED ON BOARD SEP. 05,2013"
201502063,"Oakland,California","Singapore,Singapore",NYK THESEUS,2013-09-23,2013-09-25,103,MANGO WOOD  FURNITURE
2015012317,"New York,New York","Colombo Harbor,Sri Lanka",BERLIN EXPRESS,2013-09-25,2013-09-28,2,DOWEL PINS
201501235,"New York,New York","Laem Chabang,Thailand",BERLIN EXPRESS,2013-09-25,2013-09-28,600,INDUSTRIAL MODIFIED STARCH
2015012314,"New York,New York","Colombo Harbor,Sri Lanka",BERLIN EXPRESS,2013-09-26,2013-09-28,13,PRECISION MACHINED COMPONENTS
20150226648,"New York/Newark Area,Newark,New Jersey","Anvers,Belgium",MSC ROMANOS,2013-09-29,2015-01-26,62,"TAPS,DRIL BITS AND REAMERS COM INV 1400566T HSC 82074030,8207504030,8207600035"
2015011036622,"New York/Newark Area,Newark,New Jersey","Liverpool,United Kingdom",ATLANTIC CONCERT,2013-09-29,2015-01-09,3,PLASTIC MOULDINGS
20150220681,"New York/Newark Area,Newark,New Jersey","Anvers,Belgium",MSC ROMANOS,2013-09-29,2015-01-26,62,"TAPS,DRIL BITS AND REAMERS COM INV 1400566T HSC 82074030,8207504030,8207600035"
201501237,"New York,New York","Laem Chabang,Thailand",BERLIN EXPRESS,2013-09-30,2013-09-28,13,LEATHER HIDE
2015012332,"Los Angeles,California","Vung Tau,Vietnam",MOL MODERN,2013-10-01,2013-10-01,574,"574  CTN WETSUITS AMS HBL  EFV019609SE SCAC CODE  SYSA TLI  2475-40-3000-0046 SHIPPED ON BOARD SEP 13,2013"
201501245,"Los Angeles,California","Hong Kong,Hong Kong",MOL MODERN,2013-10-01,2013-10-01,183,183  CTN WETSUIT SCAC  OBEP HBL   HPHOB1309824 TLI  2475-40-3000-0043
2015012332,"Los Angeles,California","Vung Tau,Vietnam",MOL MODERN,2013-10-01,2013-10-01,551,551  CTN WETSUIT
201502034,"Seattle,Washington","Tanjung Pelepas,Malaysia",PUSAN,2013-10-03,2013-09-28,782,OFFICE FURNITURE
201503261,"Jacksonville,Florida","Algeciras,Spain",EVER ELITE,2013-10-03,2013-10-05,2551,2551  PKG SHEABUTTER ALATA SOAP AND HANDICRAFT..
2015012327,"Seattle,Washington","Tanjung Pelepas,Malaysia",PUSAN,2013-10-03,2013-09-28,782,OFFICE FURNITURE
2015021233809,"Norfolk,Virginia","Bremerhaven,Federal Republic of Germany",YM VANCOUVER,2013-10-06,2015-01-31,145,"143 COLLI BULK BOX,TRAY PALLET 2 HOUSING MODULE INVOICE NO: 380026370 PROFORMA:06 HS:392390000 870840990"
201501246,"Los Angeles,California","Vung Tau,Vietnam",MOL MISSION,2013-10-07,2013-10-08,495,495  CTN WETSUITS AMS S HBL  EFV019619SE SCAC CODE  SYSA TLI  2475-40-3000-0046
201505151,"New York/Newark Area,Newark,New Jersey","Rotterdam,Netherlands",COSCO NAGOYA,2013-10-07,2015-05-14,1285,FOOD AND FOOD INGREDIENTS
2015012333,"Los Angeles,California","Hong Kong,Hong Kong",MOL MISSION,2013-10-07,2013-10-08,589,589  CTN WETSUITS SCAC  OBEP HBL   HPHOB1309917 TLI  2475-40-3000-0044
2015042112,"Long Beach,California","Luda,China (Mainland)",PUSAN,2013-10-11,2014-10-04,14,CARBON STEEL FLANGES/PIPE FITTINGS
201501247,"Los Angeles,California","Vung Tau,Vietnam",MOL MAJESTY,2013-10-14,2013-10-15,569,569  CTN WETSUITS AMS  S HBL  EFV019637SE SCAC CODE  SYSA TLI  2475-40-3000-0046
2015021237,"Houston,Texas","Thamesport,United Kingdom",WASHINGTON EXPRESS,2013-10-15,2013-10-14,6,"BEING- 3 PACKAGES NEW INTERNAL COMBUSTION ENGINE PARTS,CASTINGS,FORGINGS AND FILTERS SC573 PLUS 3 LARGE KITS"
2015012712,"Los Angeles,California","Kaohsiung,China (Taiwan)",APL FRANCE,2013-10-22,2013-10-22,4,LASER BEAM PRINTER INV NO: VR-13.50813 OCEAN FREIGHT USD 260.CBM (MIN USD 478) MOTHER VESSEL: APL FRANCE 006E ETA JAMESBURG: 2013-11-03 ..
201501272,"Los Angeles,California","Singapore,Singapore",APL FRANCE,2013-10-22,2013-10-22,42,WEARING APPAREL: LACE SLV RAGLAN HTS#5387AH13 AEROPOSTALE NO: PID#5387AH13 MC NO:40590301 PO NO:405903QTTY:9603 PCS C.NOS:128 CTNS INVOICE NO:AABAER130158 - PID: 5387AH13 HTS NO.: 6110202079 - PID: 5387AH13HTS NO.: 6110202079 - PID: 5387AH13 HTS NO.: 6110202079
2015012711,"Los Angeles,California","Kaohsiung,China (Taiwan)",APL FRANCE,2013-10-22,2013-10-22,1,WOMEN'S KNITTED T-SHIRT 94% COTTON 6% SPANDEX STYLE CODE: 086844(41-03)<04244H001B> CONTRACT#. 5V1309052 TOTAL QTY: 864 18 CTNS INVOICE NO.: 5V11310598. . . . . .
201501279,"Los Angeles,California","Singapore,Singapore",APL FRANCE,2013-10-22,2013-10-22,9,"108 CTN : 2,491 PCS OF APPAREL - COUNTRY OF ORIGIN : INDONESIA INVOICE NO : MA0730JN093 DATE OF RECEIPT CARGO : SEPTEMBER 25,2013 FREIGHT : COLLECTLIST OR LOG NET PACKING LIST AND THREE COPIES,WERE RECEIVED ALONG WITH THE CARGO WOMENS WOVEN BLOUSE SOLID.PRINT 100%COTTON - HS NOSHIPPING TERM : FOB INDONESIA DIVISION : SIGNATURE SEASON : HOLIDAY 2013 SHIPMENT CONTAINS NO WOOD PACKAGING MATERIAL WE CERTIFYING THAT ORIGINAL COMMERCIAL INVOICE AND THREE COPIES DETAILED ASN.PACKING6206.30.3041 - PO NO STYLE NO 4500498622 307M3L1807 4500498622 307M3L1807 4500498622 307M3L1807 4500498636 307P3L1807 4500498636 307P3L18074500498636 307P3L1807 4500498648 307W3L1807 4500498648 307W3L1807 MATERIAL ITEM 10455113.1GW 00010 10455113.B13 00030 10455113.E44 00050 10455114.1GW 0001010455114.B13 00030 10455114.E44 00050 10455115.1GW 00010 10455115.B13 00030 QUANTITY 712 PCS 30 CTN 139 PCS 6 CTN 909 PCS 38 CTN48 PCS 3 CTN 301 PCS 13 CTN 130 PCS 6 CTN 197 PCS 9 CTN 55 PCS 3 CTN"
2015012711,"Los Angeles,California","Kaohsiung,China (Taiwan)",APL FRANCE,2013-10-22,2013-10-22,2,WOMEN'S KNITTED T-SHIRT 94% COTTON 6% SPANDEX STYLE CODE: 086844(41-03)<04244H001B> CONTRACT#. 5V1309052 TOTAL QTY: 864 18 CTNS INVOICE NO.: 5V11310598. . . . . .
201501279,"Los Angeles,California","Singapore,Singapore",APL FRANCE,2013-10-22,2013-10-22,6,"108 CTN : 2,491 PCS OF APPAREL - COUNTRY OF ORIGIN : INDONESIA INVOICE NO : MA0730JN093 DATE OF RECEIPT CARGO : SEPTEMBER 25,2013 FREIGHT : COLLECTSHIPPING TERM : FOB INDONESIA DIVISION : SIGNATURE SEASON : HOLIDAY 2013 SHIPMENT CONTAINS NO WOOD PACKAGING MATERIAL WE CERTIFYING THAT ORIGINAL COMMERCIAL INVOICE AND THREE COPIES DETAILED ASN.PACKINGLIST OR LOG NET PACKING LIST AND THREE COPIES,WERE RECEIVED ALONG WITH THE CARGO WOMENS WOVEN BLOUSE SOLID.PRINT 100%COTTON - HS NO6206.30.3041 - PO NO STYLE NO 4500498622 307M3L1807 4500498622 307M3L1807 4500498622 307M3L1807 4500498636 307P3L1807 4500498636 307P3L18074500498636 307P3L1807 4500498648 307W3L1807 4500498648 307W3L1807 MATERIAL ITEM 10455113.1GW 00010 10455113.B13 00030 10455113.E44 00050 10455114.1GW 0001010455114.B13 00030 10455114.E44 00050 10455115.1GW 00010 10455115.B13 00030 QUANTITY 712 PCS 30 CTN 139 PCS 6 CTN 909 PCS 38 CTN48 PCS 3 CTN 301 PCS 13 CTN 130 PCS 6 CTN 197 PCS 9 CTN 55 PCS 3 CTN"
2015012711,"Los Angeles,California","Kaohsiung,China (Taiwan)",APL FRANCE,2013-10-22,2013-10-22,13,WOMEN'S KNITTED T-SHIRT 94% COTTON 6% SPANDEX STYLE CODE: 086844(41-03)<04244H001B> CONTRACT#. 5V1309052 TOTAL QTY: 864 18 CTNS INVOICE NO.: 5V11310598. . . . . .
201501279,"Los Angeles,California","Singapore,Singapore",APL FRANCE,2013-10-22,2013-10-22,38,"108 CTN : 2,491 PCS OF APPAREL - COUNTRY OF ORIGIN : INDONESIA INVOICE NO : MA0730JN093 DATE OF RECEIPT CARGO : SEPTEMBER 25,2013 FREIGHT : COLLECTSHIPPING TERM : FOB INDONESIA DIVISION : SIGNATURE SEASON : HOLIDAY 2013 SHIPMENT CONTAINS NO WOOD PACKAGING MATERIAL WE CERTIFYING THAT ORIGINAL COMMERCIAL INVOICE AND THREE COPIES DETAILED ASN.PACKINGLIST OR LOG NET PACKING LIST AND THREE COPIES,WERE RECEIVED ALONG WITH THE CARGO WOMENS WOVEN BLOUSE SOLID.PRINT 100%COTTON - HS NO6206.30.3041 - PO NO STYLE NO 4500498622 307M3L1807 4500498622 307M3L1807 4500498622 307M3L1807 4500498636 307P3L1807 4500498636 307P3L18074500498636 307P3L1807 4500498648 307W3L1807 4500498648 307W3L1807 MATERIAL ITEM 10455113.1GW 00010 10455113.B13 00030 10455113.E44 00050 10455114.1GW 0001010455114.B13 00030 10455114.E44 00050 10455115.1GW 00010 10455115.B13 00030 QUANTITY 712 PCS 30 CTN 139 PCS 6 CTN 909 PCS 38 CTN48 PCS 3 CTN 301 PCS 13 CTN 130 PCS 6 CTN 197 PCS 9 CTN 55 PCS 3 CTN"
2015012713,"Los Angeles,California","Kaohsiung,China (Taiwan)",APL FRANCE,2013-10-22,2013-10-22,2,LASER BEAM PRINTER 2PACKAGES 42PCS OF CANON LASER BEAM PRINTER LASER SHOT LBP6200D INV NO: VR-13.50814 OCEAN FREIGHT: USD 260.CBMMIN: USD 562 MOTHER VESSEL: APL FRANCE 006E ETA MIAMI DOOR: 2013-11-21 ... EVA TOMLINSON <CANONLATAMFTZ@EXEL.ZSLLC.COM> ROBERT GARCIA <ROBERT.GARCIA2@EXEL.COM>CLA LOGISTICS <CLA_LOGISTICS_INBOUND@CLA.CAN ON.COM>
201501279,"Los Angeles,California","Singapore,Singapore",APL FRANCE,2013-10-22,2013-10-22,2,"4 CTN : 120 PCS OF APPAREL - COUNTRY OF ORIGIN : INDONESIA INVOICE NO : MA0731JN093 DATE OF RECEIPT CARGO : SEPTEMBER 25,2013 FREIGHT : COLLECTSHIPPING TERM : FOB INDONESIA DIVISION : SIGNATURE SEASON : HOLIDAY 2013 SHIPMENT CONTAINS NO WOOD PACKAGING MATERIAL WE CERTIFYING THAT ORIGINAL COMMERCIAL INVOICE AND THREE COPIES DETAILED ASN.PACKINGLIST OR LOG NET PACKING LIST AND THREE COPIES,WERE RECEIVED ALONG WITH THE CARGO - WOMENS WOVEN BLOUSE SOLID.PRINT 100%COTTON -HS NO 6206.30.3041 - PO NO STYLE NO 4500498648 307W3L1807 4500498648 307W3L1807 MATERIAL ITEM 10455115-1GW 0005010455155-B13 00060"
2015012220,"Charleston,South Carolina","Rotterdam,Netherlands",APL SHANGHAI,2013-10-30,2013-10-30,22,ENGINE PARTS
2015042113,"Long Beach,California","Hong Kong,Hong Kong",PUSAN,2013-10-30,2014-10-04,18,WOODEN FURNITURE
2015012223,"Charleston,South Carolina","Rotterdam,Netherlands",APL SHANGHAI,2013-10-30,2013-10-30,203,ENGINE PARTS
201502254,"Long Beach,California","Kaohsiung,China (Taiwan)",OOCL LONG BEACH,2013-11-04,2013-11-05,9,SNOW SPORTS ACCESSORIES (RECTANGULAR NYLON BR BRASS BRUSH)
201501249,"Port Everglades,Florida","Barcelona ,Spain",MSC CAROLINA,2013-11-04,2013-11-01,5,S.T.C BOARD GAMES HBL OPO0319128 HS-CODE 95049080
201502255,"Long Beach,California","Kaohsiung,China (Taiwan)",OOCL LONG BEACH,2013-11-04,2013-11-05,20,GASKET .
2015012410,"Port Everglades,Florida","Barcelona ,Spain",MSC CAROLINA,2013-11-04,2013-11-01,2,S.T.C KAYAKS HBL OPO0319190 HS-CODE 89039910
201501101,"Tacoma,Washington","Ningpo ,China (Mainland)",ITAL USODIMARE,2013-11-09,2013-11-15,146,"OF TABLE,CHAIR,SERVER HS CODE:9403.60,9401.69"
201504291,"Miami,Florida","Hong Kong,Hong Kong",APL EGYPT,2013-11-17,2013-11-17,430,430  CTN 21 PLASTIC PLTS (S.T.C. 430 CTNS) PANASONIC BRAND COLOR LCD PROJECTOR TOTAL  21 PLASTIC PALLET (S.T.C. 430 CTNS) PO NO.  LH-PVCZ   LH-PVBVS/C NO. SG00000C7
2015050219600,"Los Angeles,California","Shanghai ,China (Mainland)",CSCL AMERICA,2013-11-18,2015-05-01,262,PLASTIC SOFT BOTTLE
